,sueldo,"1.007.774,29",,,,,,,,,,,,,,,,,,,1257,venta
,,,,,,,,,,,,,,,,,,,,,"642025,32",total
,,,,,,,,,,,,,,,,,,,,,"-27809,68",
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,15 de marzo,"510,89",usdt
,,,,,,,,,,,,,,,,,,,,,1257,venta
,,,,,,,,,,,,,,,,,,,,,"642188,73",total
,,,,,,,,,,,,,,,,,,,,,"-27646,27",
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,17 de marzo,"550,59",usdt
,,,,,,,,,,,,,,,,,,,,,"1256,02",venta
,,,,,,,,,,,,,,,,,,,,,"691552,0518",total
,,,,,,,,,,,,,,,,,,,,,"21717,0518",
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,19 de marzo,"550,6",usdt
,,,,,,,,,,,,,,,,,,,,,"1313,05",venta
,,,,,,,,,,,,,,,,,,,,,"722965,33",total
,,,,,,,,,,,,,,,,,,,,,"53130,33",
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,21 de marzo,"550,65",usdt
,,,,,,,,,,,,,,,,,,,,,"1294,5",venta
,,,,,,,,,,,,,,,,,,,,,"712816,425",total
,,,,,,,,,,,,,,,,,,,,,"42981,4249999999",
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,21 de marzo,"550,76",usdt
,,,,,,,,,,,,,,,,,,,,,"1312,28",venta
,,,,,,,,,,,,,,,,,,,,,"722751,3328",total
,,,,,,,,,,,,,,,,,,,,,"52916,3328",
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,30 de marzo,"551,04",usdt
,,,,,,,,,,,,,,,,,,,,,1320,venta
,,,,,,,,,,,,,,,,,,,,,"727372,8",total
,,,,,,,,,,,,,,,,,,,,,"57537,7999999999",
